##### TOURNAMENT E0wVQRCP35ysBKrgIhHS
"#","","Date/Time","Game Num","Crt","Sport","Team 1","Team 2","Score","Score 2","Wait Duration","Play Duration","Submit Source","Type","Match Type","Schedule Id","Match ID"
"50","","2026-09-04T14:57:56.000Z","","12","","Jay C & Chase Gold","Bill L. & D-Hub27🍺","13 - 11","11 - 13","00:00:38","00:08:59","Scoreboard","Live","","","20OdFUe4WkDXClW3xhtA"
"49","","2026-09-04T14:57:09.000Z","","11","","Vincent C. & Frank R.","JonMac75☘️ & Daniel Calhoun","11 - 8","8 - 11","00:00:57","00:06:19","Scoreboard","Live","","","iZijleO63FwmVfLrBJoz"
"48","","2026-09-04T14:56:44.000Z","","6","","Jason V. & L. Glods ❤️","Ronnie D & Rex B.","6 - 11","11 - 6","00:00:32","00:05:08","Scoreboard","Live","","","XgOv879rSfBMB6JscbzI"
"47","","2026-09-04T14:51:01.000Z","","6","","Jonathan Gottesmann & Rex B.","Ronnie D & Tony R.","12 - 10","10 - 12","00:01:09","00:06:28","Scoreboard","Live","","","LkRho1niLSCd2LV5GJ8E"
"46","","2026-09-04T14:49:51.000Z","","11","","Hersh & Brendan S.","Karen P. & L. Glods ❤️","11 - 7","7 - 11","00:00:36","00:07:43","Scoreboard","Live","","","c6ZUtLQjIeIfl8LRGs6F"
"45","","2026-09-04T14:48:18.000Z","","12","","Frank R. & Daniel Calhoun","Jason V. & JonMac75☘️","12 - 10","10 - 12","00:01:00","00:05:51","Scoreboard","Live","","","oDpQ1OzNNO9NM4NdjkO3"
"44","","2026-09-04T14:43:23.000Z","","6","","Jay C & Ronnie D","Jonathan Gottesmann & Vincent C.","5 - 11","11 - 5","00:00:53","00:05:00","Scoreboard","Live","","","0AKUioxMMx5WmyYQGIZd"
"43","","2026-09-04T14:41:30.000Z","","11","","Bill L. & Brendan S.","Karen P. & Rex B.","9 - 11","11 - 9","00:00:36","00:07:19","Scoreboard","Live","","","IetFmnfatnGRpvbXkak6"
"42","","2026-09-04T14:41:25.000Z","","12","","Chase Gold & D-Hub27🍺","L. Glods ❤️ & Tony R.","11 - 9","9 - 11","00:01:02","00:07:36","Scoreboard","Live","","","aQdSwAA3dm4vGNinJr9h"
"41","","2026-09-04T14:37:28.000Z","","6","","Hersh & JonMac75☘️","Jason V. & Daniel Calhoun","11 - 4","4 - 11","00:01:05","00:05:19","Scoreboard","Live","","","bj23mls23JKmwbe2x4aE"
"40","","2026-09-04T14:33:33.000Z","","11","","Jay C & Karen P.","Jonathan Gottesmann & Frank R.","3 - 11","11 - 3","00:00:42","00:04:29","Scoreboard","Live","","","08Q2RBaBmCJBMiWKx7xU"
"39","","2026-09-04T14:32:45.000Z","","12","","Chase Gold & Bill L.","Brendan S. & Vincent C.","11 - 8","8 - 11","00:00:41","00:05:25","Scoreboard","Live","","","Zljgg8R2sS69EcN8wlhx"
"38","","2026-09-04T14:31:02.000Z","","6","","Jason V. & Ronnie D","L. Glods ❤️ & JonMac75☘️","11 - 7","7 - 11","00:00:10","00:06:32","Scoreboard","Live","","","g1gSaMVkb6D0TNLg9mNE"
"37","","2026-09-04T14:28:20.000Z","","11","","Rex B. & Tony R.","D-Hub27🍺 & Daniel Calhoun","9 - 11","11 - 9","00:01:14","00:06:44","Scoreboard","Live","","","Y9dKuY9MvDIYkobbPsqu"
"36","","2026-09-04T14:26:37.000Z","","12","","Jay C & Jonathan Gottesmann","Hersh & Frank R.","5 - 11","11 - 5","00:01:10","00:05:17","Scoreboard","Live","","","w9S7dG59TnG42rNPX4E1"
"35","","2026-09-04T14:24:17.000Z","","6","","Brendan S. & Jason V.","Chase Gold & Ronnie D","6 - 11","11 - 6","00:01:39","00:05:46","Scoreboard","Live","","","YRVbRzC3X6XVCxDTRmnp"
