gameid	players	matches
fw6UGTJ2O0zHblZC1Udf	11	27
2hnSqmGTZVUJk3B562xN	0	21
RFzlKxrzAmoylRgIYFvB	4	3
vAIh8VqweiFNNfVAmt0A	17	51
P3kQbuJr16QJU7sJwvhh	2	5
an870s7wMzZ2yVCnV5NP	0	11
5RUYYK2GiDsqsCH3OK6m	17	51
R6r1mKT3el6ANQ4HwQQa	7	54
HlzETX3QjPHNPop3TT8m	2	5
Swc07L0exEBJS5lraimv	0	4
fwYGnbHxtrhjIsqfAX00	1	0
w7rEU5VLw5DpVwCcnqBy	13	37
14r73nLvOXmx20FmTR9M	11	27
1xjWaAhBTwdNxoKgAT5T	10	22
2CV2wREwbZuY0lQ7F6bl	8	13
6vciznacm03Ca3NbhGEF	0	0
dTPYlLR70uZjyjWx13Nj	8	14
WEbPo2jJBcEGd9BMNGDj	16	32
HHR4wZsuEHj4NE74tDDA	13	26
FYIcSzQsi2kFWZJecRVh	14	28
mVQhmc8FqePLxSPN3Xye	14	21
ITStrQ8j8Ejgbq3nU5g4	16	24
mLR4CtuvEAXBD2CfIBE6	12	18
ODTI0gg8hlM2eUdGRBcC	11	16
piE2fIpVHVadPfs7TtEP	7	7
InwCM8YnYLt1WIdgdsL8	0	14
7pBNTjuyOTiHmC4fcKNn	0	28
01qnlzZk9ktxohTQXY7n	6	21
3P6t4bBZxRyWbj8OGrLf	0	11
jez6s49iwW7yjjDDwiXC	6	7
GXCxfajQuWt2xpUd8yfM	0	51
W7ojS6pfaBWYick698KO	4	3
VBXrnTsP26K2WvTUTxzO	0	0
xCvsvlUhiRqKT1gWVcGq	5	5
kVdZLapuR7Y7l1hwFqEN	5	5
hOvg6COkDXmPpIxArFcH	1	2
Kp3fu3f3woWJRJ01Bhlk	4	3
8aVnuiOyHU1o3vWzS4PU	4	3
ZN8yIDFmL5DAJa85jE9n	4	3
9AeqKvP4bPfE94gl8yaq	4	3
PfeVC3qBFH6514S7tHyr	4	3
6rrvv37IW9RbQQen9ysi	6	7
y3WRbwrXnalrO8rmqfSX	6	7
tNpPb578ixN0zedBqlqz	7	8
6f9VcUo5P6haeMX0qcp0	7	10
