gameid	unix	completed	total	pct	registered	template	status	format	type	sport	name
Gd74j4mX1TLc0txQvI7t	1789146000	27	30.25	89.3	11	0	GamePlay	Round Robin	Live	pickleball	Friday Bracket B - S3W6
lMFLQ14a6PQdtFLojKWt	1789130700	48	54	88.9	18	0	GamePlay	Round Robin	Live	pickleball	LET’S GO!  The Return of Danielle!!!!!  Welcome back. 9/11/26
tggNuC7g4ftVjAvC4jNK	1789084800	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Carpenters Pub Thursday Night (Week 12
l4h4tJiOtWm9bAxR4HSM	1789002000	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Newbridge Inn presents S-8 Wk-2 A bracket
QAzzvRoo4qSPsEKzbUgT	1789002000	28	33	84.8	12	0	GamePlay	Round Robin	Live	pickleball	Newbridge Inn presents S-8 Wk-2 B bracket
VoEhtyY1dn7QiPOMzOpA	1788915600	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	9/8/26 “EJ” Pop-Up Tournament #26
FL66FflvmxGYoonlDmpI	1788883200	29	30.25	95.9	11	0	GamePlay	Round Robin	Live	pickleball	Tuesday AM hangover.   9/8/26
qN1ZDkGTPvgwYFNPHW5e	1788829200	94	96.25	97.7	35	0	GamePlay	Round Robin	Live	pickleball	Monday League S-9 All 36 #157
hpf9qgvEhKDYV8u0Xz2V	1788703200	12	30	40	6	0	GamePlay	Round Robin	Live	pickleball	Fixed coed doubles - 2nd phase - Copy
0GYasMTSFGqYHMrUPBh4	1788699600	15	30	50	6	0	GamePlay	Round Robin	Live	pickleball	Fixed coed doubles - 3.5 DUPR
E0wVQRCP35ysBKrgIhHS	1788525900	50	67.5	74.1	18	0	GamePlay	Round Robin	Live	pickleball	Friday AM new season.  Return of Rizzi. 9/4/26
gDwflxa0pribSskHbkLt	1788480000	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Carpenters Pub Thursday Night (week 11)
5SZynHCMuFI2jkZQbxj9	1788397200	66	66	100	24	0	GamePlay	Round Robin	Live	pickleball	Newbridge Inn presents Big dogs Wed Season 8 All 24
PHj7HdeR2v4zsStjOTKD	1788310800	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	9/1/26 “EJ” Pop-Up Tournament #25
EZeDEU5h1qtXrsgbES1n	1788278400	14	33.75	41.5	9	0	GamePlay	Round Robin	Live	pickleball	Tuesday AM let’s count it. 9/1/26
Wgfs3IijS7s5b0k2kU4i	1788278400	14	33.75	41.5	9	0	GamePlay	Round Robin	Live	pickleball	Tuesday AM let’s count it. 9/1/26 - Copy
UCIEmDQRpfVhv1mNr2mC	1788224400	66	66	100	24	0	GamePlay	Round Robin	Live	pickleball	That’s a wrap for Summer. All 24 #156
bhketMq0YA237ryvR3rh	1788094800	32	33	97	12	0	GamePlay	Round Robin	Live	pickleball	Summer ladies league Day 6/6
LunDxITwfSWmixZqqIRO	1787936400	43	46.75	92	17	0	GamePlay	Round Robin	Live	pickleball	Friday Bracket B - S3W4
MXm8Er24cF3Aea3r7xTO	1787921100	48	60	80	16	0	GamePlay	Round Robin	Live	pickleball	So long Summer. WTF. 8/28/26
p22WjrVV87lgB9UzchpX	1787875200	29	33	87.9	12	0	GamePlay	Round Robin	Live	pickleball	Carpenters Pub Thursday Night (Week10)
zMXOMygCxYzrpQvVg49r	1787792400	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Newbridge Inn summer sesh Wk 10 Final A
HCjsvAdeTmWnUHb4b4vW	1787792400	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Newbridge Inn summer sesh Wk 10 Final B
ryzgqx40vtzbm8SC6hDL	1787706000	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	8/25/26 “EJ” Pop-Up Tournament #24
Ah9IsCSIzBkvtiWLs8vI	1787702400	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	PIckle Club Season 1 Wk 13 FINAL
GM9VckmPaSEhwzuB8z8H	1787673600	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Tuesday day. HOLD ON SUMMER
giZAuif02Dp2XZ7rQywy	1787619600	26	33	78.8	12	0	GamePlay	Round Robin	Live	pickleball	Monday #155 Rally 15 A
0GOJPgTA9wlX0msYvMHz	1787619600	26	33	78.8	12	0	GamePlay	Round Robin	Live	pickleball	Monday #155 Rally 15 B
d3mF7F68MGTU5fsmJXyM	1787490000	15	30	50	6	0	GamePlay	Round Robin	Live	pickleball	Fixed coed doubles - Day 4
CR0xfk2OwZ3EC133TMkw	1787490000	15	30	50	6	0	GamePlay	Round Robin	Live	pickleball	Fixed coed doubles - phase 2
RuwJdPu7DydYf0rwYzct	1787331600	47	49.5	94.9	18	0	GamePlay	Round Robin	Live	pickleball	Friday Bracket B - S3W3
7F0uqoRp9GCVtIFDI2Gq	1787316300	48	67.5	71.1	18	0	GamePlay	Round Robin	Live	pickleball	E-Rizz Oh no!  8/21/26 LAUREN, YOU GOT THIS!
xkgTiM91dOwo5YiDzg1p	1787270400	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Carpenters Pub Thursday Night (Week 9)
KY3E0IGK1LejdNgIH0GR	1787187600	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Newbridge Inn summer sesh wk 9 A
wLiUYTLKwXJaRgQtPyWA	1787187600	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Newbridge Inn summer sesh wk 9 B
PfiAR5j99ynIO80MRKxk	1787101200	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	8/18/26 “EJ” Pop-Up Tournament #23
cNjnSl3KajcqayMqyt9m	1787097600	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Pickle Club Season 1 Wk 12
0qXbP3SMdIJ8b7TmE68s	1787068800	31	33	93.9	12	0	GamePlay	Round Robin	Live	pickleball	Tuesday (18th) 12pm
sq0vGGiBIUvFjn12DrVM	1787014812	6	6	100	25	0	GamePlay	Set Schedule	Live	pickleball	Monday MLP style #151#152#153
TwLJee6VJh8wdKhWiIYY	1786885200	30	33	90.9	12	0	GamePlay	Round Robin	Live	pickleball	Summer ladies league Day 5/6
EvziaiFUYRiNKH7fWC99	1786726800	42	44	95.5	16	0	GamePlay	Round Robin	Live	pickleball	Friday Bracket B - S3W2
6bBt1JEG4dM8d1RyCI5A	1786711500	45	63.75	70.6	17	0	GamePlay	Round Robin	Live	pickleball	McCormack here u go. 8/14/26. 3 YR anniversary MIP
3uvKCVpvQLXD8vybf8xn	1786665600	27	33	81.8	12	0	GamePlay	Round Robin	Live	pickleball	Carpenters Pub Thursday Night (Week 8)
xJY7cCbJOMVUC46sdViR	1786582800	29	33	87.9	12	0	GamePlay	Round Robin	Live	pickleball	Newbridge Inn summer sesh wk 8 B
9O97MfAqrLpGMSyfdJHI	1786582800	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Newbridge inn summer sesh wk 8 A
kaDg6cgKUkq3AyElSXTL	1786496400	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	8/11/26 “EJ” 4.0+ Pop-Up Tournament #22
rt3iJUqU3V3yhWpsMd2L	1786492800	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	PIckle club Season 1 Wk 11
nHofiw4cJs2DW2jAtbNh	1786464000	31	33	93.9	12	0	GamePlay	Round Robin	Live	pickleball	Tuesday (11th) 12pm
5OaUXhuXGyilxmTGUgHi	1786410006	0	6	0	27	0	GamePlay	Set Schedule	Test	pickleball	Test MLP
rbx3KqmlVbuVYNVLGkd0	1786284000	15	30	50	6	0	GamePlay	Round Robin	Live	pickleball	Fixed coed doubles - Phase 2
k7coPgAPdsjlv6Q23lkE	1786280400	15	30	50	6	0	GamePlay	Round Robin	Live	pickleball	Fixed coed doubles - Day 3
FmpHCsbWgyhwM3YBJ0yN	1786122000	43	44	97.7	16	0	GamePlay	Round Robin	Live	pickleball	Friday Bracket B - S3W1
EuyrpZv987pjVrASGJwv	1786106700	50	54	92.6	18	0	GamePlay	Round Robin	Live	pickleball	What,  August already?  Fr-18.
dd6mUrgdJozYQo28CNtf	1786060800	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Carpenters Pub Thursday Night (Week7)
vJm9g8ir8P2lURCUKsAe	1785978000	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Newbridge inn summer sesh  wk 7 A
9oUntjlbKheXLg69FPkT	1785978000	28	33	84.8	12	0	GamePlay	Round Robin	Live	pickleball	Newbridge inn summer sesh wk 7 B
W77fURMhTfNPBpMjzMPy	1785891600	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	8/4/26 “EJ” Pop-Up Tournament #21
ijeSgNhx1sm5YbmcIBqZ	1785888000	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Pickle club Season 1 Wk 10
JFHAJBQsqlvcvpcRQBpU	1785859200	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Tuesday (4th) 12pm - meet my bro!
a0SWyi2tNTyWYVpfXaIg	1785675600	32	33	97	12	0	GamePlay	Round Robin	Live	pickleball	Summer ladies league Day 4/6
apJ6iDQWBeJe6ADrcA8M	1785517200	42	49.5	84.8	18	0	GamePlay	Round Robin	Live	pickleball	Friday Bracket B - S2W10
dhvh7BwcDMejBFG34ne4	1785501900	47	59.5	79	18	0	GamePlay	Round Robin	Live	pickleball	OBX no more 7/31/26
WvnBjYurb6D4Z57gLcqK	1785456000	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Carpenters Pub Thursday Night (Week 6)
OBrSb8XU3tXjOjRYBlJ5	1785373200	33	33	100	12	0	GamePlay	Round Robin	Live	pickleball	Summer sesh Wk 6 B bracket
